symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,short,2025-04-15 02:45:00+00:00,2025-04-15 02:55:00+00:00,1624.412388,1628.465628,1582.0,1628.465628,0.015998,loss,-0.0648,0.026,-0.0909,-1.401,
ETH/USDT,short,2025-04-15 02:55:00+00:00,2025-04-15 03:25:00+00:00,1628.430378,1631.8263,1616.75,1616.75,0.015948,win,0.1863,0.0259,0.1604,2.962,
ETH/USDT,long,2025-04-15 03:25:00+00:00,2025-04-15 03:30:00+00:00,1624.246717,1622.065522,1631.2,1631.2,0.016009,win,0.1113,0.0261,0.0853,2.442,
ETH/USDT,short,2025-04-15 05:40:00+00:00,2025-04-15 05:45:00+00:00,1633.30294,1639.3278,1583.0,1639.3278,0.01593,loss,-0.096,0.0261,-0.122,-1.272,
ETH/USDT,short,2025-04-15 06:05:00+00:00,2025-04-15 06:55:00+00:00,1638.205488,1640.608056,1630.24,1630.24,0.015868,win,0.1264,0.0259,0.1005,2.635,
ETH/USDT,short,2025-04-15 07:05:00+00:00,2025-04-15 07:30:00+00:00,1632.738222,1638.3276,1585.0,1638.3276,0.015933,loss,-0.0891,0.0261,-0.1151,-1.293,
ETH/USDT,short,2025-04-15 10:50:00+00:00,2025-04-15 11:00:00+00:00,1631.16401,1635.707076,1600.0,1600.0,0.015934,win,0.4966,0.0257,0.4708,6.504,
ETH/USDT,short,2025-04-15 11:10:00+00:00,2025-04-15 11:40:00+00:00,1626.756215,1632.436422,1600.0,1600.0,0.016036,win,0.4291,0.0259,0.4032,4.426,
ETH/USDT,short,2025-04-15 12:30:00+00:00,2025-04-15 13:10:00+00:00,1631.873655,1634.816898,1600.0,1634.816898,0.016035,loss,-0.0472,0.0262,-0.0734,-1.555,
ETH/USDT,long,2025-04-16 02:40:00+00:00,2025-04-16 02:55:00+00:00,1596.21771,1591.121712,1639.0,1639.0,0.016384,win,0.7009,0.0265,0.6744,8.078,
ETH/USDT,short,2025-04-16 03:35:00+00:00,2025-04-16 04:25:00+00:00,1595.771715,1601.410218,1576.92,1601.410218,0.016473,loss,-0.0929,0.0263,-0.1192,-1.284,
ETH/USDT,long,2025-04-16 11:50:00+00:00,2025-04-16 12:10:00+00:00,1580.5899,1576.904556,1593.94,1576.904556,0.016616,loss,-0.0612,0.0262,-0.0875,-1.428,
ETH/USDT,long,2025-04-16 13:45:00+00:00,2025-04-16 13:50:00+00:00,1575.462337,1573.08532,1582.94,1573.08532,0.016659,loss,-0.0396,0.0262,-0.0658,-1.662,
ETH/USDT,long,2025-04-16 14:15:00+00:00,2025-04-16 14:20:00+00:00,1573.26624,1571.305676,1580.29,1580.29,0.016674,win,0.1171,0.0263,0.0908,2.778,
ETH/USDT,long,2025-04-16 14:40:00+00:00,2025-04-16 14:55:00+00:00,1578.723967,1572.195498,1630.0,1572.195498,0.016628,loss,-0.1086,0.0262,-0.1347,-1.241,
ETH/USDT,long,2025-04-16 14:40:00+00:00,2025-04-16 14:55:00+00:00,1585.37229,1581.78358,1630.0,1581.78358,0.016556,loss,-0.0594,0.0262,-0.0856,-1.441,
ETH/USDT,long,2025-04-16 15:25:00+00:00,2025-04-16 15:35:00+00:00,1590.55488,1586.522632,1620.0,1586.522632,0.016476,loss,-0.0664,0.0262,-0.0926,-1.394,
ETH/USDT,short,2025-04-16 16:35:00+00:00,2025-04-16 17:20:00+00:00,1589.334935,1605.941124,1450.0,1605.941124,0.016477,loss,-0.2736,0.0263,-0.2999,-1.096,
ETH/USDT,short,2025-04-16 16:45:00+00:00,2025-04-16 16:50:00+00:00,1581.793708,1586.427222,1460.0,1586.427222,0.016554,loss,-0.0767,0.0262,-0.1029,-1.342,
ETH/USDT,long,2025-04-17 01:35:00+00:00,2025-04-17 01:50:00+00:00,1585.247227,1581.603616,1597.18,1581.603616,0.016469,loss,-0.06,0.0261,-0.0861,-1.435,
ETH/USDT,short,2025-04-17 01:45:00+00:00,2025-04-17 01:50:00+00:00,1586.02659,1592.788494,1500.0,1500.0,0.016459,win,1.4159,0.0254,1.3905,12.494,
ETH/USDT,short,2025-04-17 03:35:00+00:00,2025-04-17 03:40:00+00:00,1581.72874,1585.246986,1500.0,1500.0,0.01667,win,1.3625,0.0257,1.3368,22.792,
ETH/USDT,short,2025-04-17 03:50:00+00:00,2025-04-17 04:10:00+00:00,1572.818197,1581.036144,1500.0,1581.036144,0.016935,loss,-0.1392,0.0267,-0.1659,-1.192,
